gameId,userColor,moveNumber,san,sacrifice,sacSquare,playedEval,evalLoss,quietAlt,margin,shape,accepted,admitted,fresh,standing,rejectedBy,label
167769830480,b,22,a6,0,,287,92,379,-92,direct,true,allow,3.2,0,necessary,0
167769830480,b,26,Ne5+,3,e5,567,-25,542,25,direct,false,offer,0,0,necessary,0
167769830480,b,27,axb5,-3,,314,269,583,-269,direct,false,allow,3.2,3,strong,0
167766708274,b,17,dxc3,-9,,99980,-10,,,direct,false,allow,2,0,necessary,0
167766708274,b,18,Qxb3+,9,b3,-586,100576,99990,-100576,direct,true,offer,0,0,sound,0
167738159584,w,25,Rf4,0,,-99990,99990,0,-99990,direct,true,allow,3,0,sound,0
167735375646,b,10,Bxh2,3.2,h2,-231,383,152,-383,direct,true,offer,0.2,0,sound,0
167735375646,b,19,Qf2,0,,438,99532,99970,-99532,direct,true,allow,3,0,strong,0
167735375646,b,21,c5+,0,,-88,305,217,-305,direct,true,allow,5,0,sound,0
167711155810,w,8,Ndxe4,3,e4,-239,239,0,-239,direct,false,offer,0,1,sound,0
167711155810,w,19,f4,0,,442,265,707,-265,direct,true,allow,3.2,1,strong,0
167711155810,w,39,Qxc2+,9,c2,3696,619,3760,-64,direct,true,offer,0,0,strong,0
167679211282,b,11,d6,0,,-499,95,-404,-95,direct,false,allow,2.2,0,sound,0
167679211282,b,13,Rb8,0,,-665,253,-412,-253,direct,true,allow,3,0,sound,0
167679211282,b,14,Qxb8,-5,,-675,112,-563,-112,direct,true,allow,0,3,sound,0
167679211282,b,15,g6,0,,-820,110,-710,-110,direct,true,allow,3.2,0,sound,0
167679211282,b,16,Rc8,0,,-811,73,-796,-15,direct,true,allow,1,3.2,sound,0
167679211282,b,17,Rxc7,-3,,-613,207,-406,-207,direct,true,allow,0,3.2,sound,0
167679211282,b,19,Rb7,0,,-570,153,-504,-66,direct,true,allow,0,3.2,sound,0
167679211282,b,23,Rg7,0,,-832,-10,-929,97,direct,true,allow,3,1,sound,0
167679211282,b,28,Kf6,0,,-99940,99020,-920,-99020,direct,false,allow,6,0,sound,0
167679211282,b,38,Ke4,5,c5,-99990,20,-99970,-20,discovered,false,offer,0,0,sound,0
167673613410,b,12,Bd6,3.2,d5,120,80,200,-80,discovered,false,offer,0,0,necessary,1
167673613410,b,17,b5,1,b5,-475,1057,582,-1057,direct,false,allow,3.2,0,sound,0
167673613410,b,19,Re8,0,,-665,244,-421,-244,direct,false,allow,3.2,0,sound,0
167673613410,b,22,Rd3+,0,,-807,807,0,-807,direct,true,allow,2.2,0,sound,0
167673613410,b,23,Rxc3,5,c3,-99990,99179,-811,-99179,direct,false,offer,1,0,sound,0
